id_encuestado,fecha_respuesta,edad_rango,genero,ciudad,nivel_educativo,tipo_celular,dispositivo_principal,acceso_internet,nivel_manejo_celular,comodidad_apps,frecuencia_uso_apps,apps_usadas,uso_principal_celular,dificultades,miedos,interes_clases_presenciales,interes_simuladores,apps_deseadas,app_prioritaria,dias_disponibles,horarios_disponibles,frecuencia_posible_semana,duracion_preferida_clase,tiempo_desplazamiento,lugar_preferido_clases,tipo_clase_preferida,limitaciones,disposicion_pago,entidad_ideal,contacto_interes
163,2025-12-06,50-59,Femenino,Malambo,Primaria,Celular basico,Ninguno,Datos moviles,1,Neutral,A veces,Correo,Mapas,Ninguna,No entender,Si,No me interesa,Google Maps,Correo,"Martes, Viernes",Tarde,3 veces o mas,30 min,0-10,Barrio,Individual,Ninguna,Solo si es gratis,Empresa privada,No
164,2025-12-14,70-79,Femenino,Barranquilla,Primaria,No tiene,Ninguno,Datos moviles,2,Neutral,Todos los dias,"WhatsApp, Banca, Correo","Mapas, No lo usa",Ninguna,Perder dinero,Si,No me interesa,"Gobierno, WhatsApp, Correo",Correo,"Miercoles, Sabado","Manana, Noche",3 veces o mas,1 hora,0-10,Alcaldia,Grupo grande,Audicion,Si,Familia,Si
165,2025-11-14,70-79,Prefiero no decirlo,Soledad,Tecnico/Tecnologo,No tiene,Ninguno,WiFi,3,Comodo,Nunca,"Correo, YouTube, Banca",Mensajes,Ninguna,Perder dinero,Tal vez,No me interesa,Correo,Salud,"Jueves, Lunes, Viernes","Manana, Tarde",1 vez,1.5 horas,0-10,Biblioteca,Indiferente,Ninguna,Si,Familia,Si
166,2025-11-15,40-49,Femenino,Soledad,Profesional,No tiene,Celular,Datos moviles,5,Muy incomodo,Rara vez,"Ninguna, YouTube, WhatsApp",No lo usa,Olvida contrasenas,Estafas,Tal vez,Util,"Banca, Compras, WhatsApp",WhatsApp,"Viernes, Sabado",Manana,2 veces,1.5 horas,21-40,Alcaldia,Grupo grande,Vista,Solo si es gratis,Familia,Si
167,2025-12-04,50-59,Femenino,Puerto Colombia,Bachillerato,Celular basico,Celular,WiFi,3,Incomodo,Todos los dias,Ninguna,"Tramites, Mensajes","Miedo a danar celular, No entiende botones",Perder dinero,Si,No me interesa,WhatsApp,Salud,Lunes,Manana,1 vez,1 hora,40+,Alcaldia,Grupo pequeno,Audicion,Si,Empresa privada,No
168,2025-12-01,50-59,Femenino,Puerto Colombia,Primaria,No tiene,Tablet,No tiene,4,Muy comodo,Nunca,"Google Maps, Ninguna, Correo",Tramites,Miedo a danar celular,Estafas,No,Muy util,"Redes sociales, Compras, Correo",Correo,Jueves,Tarde,1 vez,45 min,0-10,Biblioteca,Indiferente,Memoria,Si,Universidad,Si
169,2025-12-13,60-69,Masculino,Soledad,Profesional,Celular basico,Computador,No tiene,4,Muy incomodo,Nunca,"WhatsApp, Banca, YouTube",Llamadas,"Ninguna, No entiende botones",Estafas,Si,No me interesa,"Redes sociales, Salud, Banca",Redes sociales,"Miercoles, Martes, Lunes","Manana, Noche",2 veces,1.5 horas,11-20,Alcaldia,Grupo pequeno,Vista,No,Familia,No
170,2025-12-13,70-79,Femenino,Soledad,Ninguno,Celular basico,Tablet,Datos moviles,3,Incomodo,Todos los dias,"YouTube, Google Maps, Banca",Videos,No entiende botones,Ninguno,Si,Poco util,Banca,Salud,"Jueves, Martes","Manana, Tarde",2 veces,45 min,11-20,Barrio,Indiferente,Ninguna,No,Universidad,No
171,2025-11-18,70-79,Masculino,Barranquilla,Profesional,No tiene,Tablet,WiFi,3,Comodo,Rara vez,"YouTube, Banca, WhatsApp","Llamadas, No lo usa","Ninguna, No entiende botones",No entender,No,No me interesa,"Banca, Salud",Salud,Lunes,Noche,Depende,45 min,11-20,Universidad,Grupo grande,Audicion,Solo si es gratis,Alcaldia,Si
172,2025-11-29,60-69,Femenino,Galapa,Ninguno,No tiene,Celular,Datos moviles,4,Incomodo,Todos los dias,Google Maps,"No lo usa, Llamadas",No sabe descargar apps,Dañar celular,No,Muy util,"Compras, Gobierno",Mapas,"Viernes, Sabado, Martes",Noche,3 veces o mas,30 min,21-40,Barrio,Individual,Memoria,No,Fundacion,Si
173,2025-12-03,60-69,Femenino,Puerto Colombia,Primaria,No tiene,Tablet,WiFi,3,Incomodo,Nunca,"Correo, Banca, YouTube",Videos,"Olvida contrasenas, No sabe descargar apps",Dañar celular,Si,Muy util,"Redes sociales, Salud",Salud,"Viernes, Lunes, Jueves","Tarde, Noche",1 vez,45 min,40+,Barrio,Individual,Memoria,Si,Empresa privada,Si
174,2025-12-11,50-59,Masculino,Barranquilla,Bachillerato,Celular basico,Tablet,WiFi,5,Muy incomodo,A veces,"Ninguna, Banca",Mapas,"No sabe descargar apps, Ninguna",Estafas,Tal vez,Util,WhatsApp,Banca,"Sabado, Miercoles, Jueves","Noche, Tarde",Depende,1.5 horas,40+,Universidad,Grupo pequeno,Motricidad,Si,Empresa privada,Si
175,2025-11-29,60-69,Masculino,Barranquilla,Bachillerato,Celular basico,Computador,Datos moviles,2,Muy comodo,Rara vez,"Banca, Google Maps, YouTube",No lo usa,Miedo a danar celular,Perder dinero,Si,Muy util,"Google Maps, Salud",Mapas,"Martes, Sabado",Noche,3 veces o mas,1 hora,11-20,Universidad,Indiferente,Ninguna,Si,Familia,No
176,2025-12-11,40-49,Masculino,Galapa,Bachillerato,Celular basico,Computador,WiFi,1,Muy comodo,A veces,"Ninguna, Google Maps, Correo","Tramites, Mensajes","Olvida contrasenas, No entiende botones",No entender,Si,Util,"Banca, Google Maps, WhatsApp",Salud,"Martes, Jueves, Miercoles",Tarde,1 vez,45 min,11-20,Universidad,Grupo pequeno,Vista,Si,Familia,No
177,2025-11-23,40-49,Prefiero no decirlo,Galapa,Bachillerato,Celular basico,Computador,No tiene,5,Muy comodo,Nunca,"Google Maps, Correo, YouTube","Videos, Mapas","No entiende botones, Olvida contrasenas",Dañar celular,Tal vez,Poco util,"Banca, Gobierno",Redes sociales,"Sabado, Jueves","Tarde, Manana",Depende,1.5 horas,11-20,Barrio,Grupo pequeno,Audicion,No,Fundacion,No
178,2025-12-12,80+,Masculino,Barranquilla,Primaria,Celular basico,Computador,Datos moviles,2,Muy comodo,Todos los dias,"Banca, YouTube, Ninguna",Mapas,"Ninguna, No sabe descargar apps",Estafas,Tal vez,Poco util,"Gobierno, Banca",WhatsApp,Martes,"Tarde, Noche",1 vez,1 hora,40+,Biblioteca,Indiferente,Audicion,Si,Alcaldia,No
179,2025-11-29,40-49,Prefiero no decirlo,Malambo,Ninguno,Celular basico,Ninguno,Datos moviles,4,Muy incomodo,A veces,"Ninguna, Banca, WhatsApp","Mensajes, Tramites",Miedo a danar celular,Dañar celular,Tal vez,Util,"Google Maps, WhatsApp",Mapas,"Jueves, Miercoles",Tarde,3 veces o mas,30 min,11-20,Biblioteca,Individual,Ninguna,Si,Familia,No
180,2025-11-17,60-69,Prefiero no decirlo,Malambo,Tecnico/Tecnologo,No tiene,Computador,WiFi,5,Muy comodo,A veces,WhatsApp,Tramites,"Olvida contrasenas, No sabe descargar apps",No entender,Tal vez,Util,Salud,Banca,"Martes, Sabado, Lunes","Tarde, Manana",1 vez,45 min,0-10,Alcaldia,Grupo grande,Motricidad,Solo si es gratis,Empresa privada,Si
181,2025-11-18,70-79,Prefiero no decirlo,Puerto Colombia,Tecnico/Tecnologo,Smartphone,Computador,WiFi,1,Incomodo,Rara vez,"YouTube, Ninguna, Google Maps",Mensajes,No entiende botones,No entender,No,Muy util,WhatsApp,Salud,"Lunes, Martes",Manana,1 vez,1.5 horas,0-10,Universidad,Individual,Vista,No,Alcaldia,Si
182,2025-11-19,40-49,Prefiero no decirlo,Soledad,Ninguno,Smartphone,Tablet,No tiene,3,Muy incomodo,Nunca,Ninguna,"Tramites, Videos","Miedo a danar celular, Ninguna",Ninguno,No,Muy util,WhatsApp,Correo,Sabado,Tarde,2 veces,30 min,0-10,Biblioteca,Indiferente,Motricidad,Solo si es gratis,Familia,Si
183,2025-11-30,40-49,Femenino,Malambo,Profesional,Celular basico,Tablet,No tiene,2,Comodo,Nunca,"WhatsApp, Correo",Tramites,No sabe descargar apps,Dañar celular,No,Poco util,"WhatsApp, Gobierno, Google Maps",Salud,Jueves,"Tarde, Noche",Depende,45 min,40+,Universidad,Indiferente,Audicion,Si,Fundacion,No
184,2025-12-09,40-49,Prefiero no decirlo,Galapa,Primaria,Celular basico,Ninguno,No tiene,1,Muy incomodo,Rara vez,"Correo, Banca",No lo usa,No entiende botones,Dañar celular,Si,Poco util,Compras,WhatsApp,Jueves,"Tarde, Noche",Depende,1 hora,40+,Alcaldia,Indiferente,Ninguna,No,Universidad,No
185,2025-12-11,40-49,Masculino,Galapa,Profesional,Smartphone,Tablet,WiFi,1,Muy incomodo,Nunca,"Ninguna, WhatsApp",Mapas,"Miedo a danar celular, Olvida contrasenas",Ninguno,No,Muy util,Gobierno,Salud,Miercoles,"Tarde, Noche",3 veces o mas,30 min,0-10,Alcaldia,Individual,Memoria,No,Empresa privada,No
186,2025-11-30,70-79,Femenino,Barranquilla,Bachillerato,No tiene,Computador,No tiene,2,Comodo,Todos los dias,Google Maps,"Mapas, Llamadas","Ninguna, No sabe descargar apps",No entender,No,Util,"WhatsApp, Salud, Google Maps",Salud,"Jueves, Viernes, Miercoles","Tarde, Manana",1 vez,30 min,11-20,Universidad,Grupo grande,Ninguna,Si,Empresa privada,No
187,2025-12-11,70-79,Masculino,Malambo,Profesional,Celular basico,Celular,No tiene,2,Incomodo,Rara vez,"Google Maps, Banca, WhatsApp",Videos,Olvida contrasenas,Perder dinero,Si,Poco util,Gobierno,Redes sociales,"Viernes, Sabado","Tarde, Manana",Depende,30 min,21-40,Alcaldia,Indiferente,Motricidad,Solo si es gratis,Alcaldia,No
188,2025-12-11,50-59,Masculino,Galapa,Ninguno,No tiene,Computador,WiFi,5,Neutral,A veces,"YouTube, Correo",Tramites,Olvida contrasenas,Dañar celular,Si,Poco util,"Compras, Gobierno, Banca",Correo,"Lunes, Viernes, Sabado","Tarde, Manana",Depende,1.5 horas,11-20,Universidad,Individual,Motricidad,Solo si es gratis,Empresa privada,No
189,2025-11-23,80+,Masculino,Soledad,Profesional,Celular basico,Computador,No tiene,5,Comodo,Rara vez,Ninguna,Tramites,"Miedo a danar celular, No sabe descargar apps",Dañar celular,No,No me interesa,"WhatsApp, Correo, Banca",Mapas,"Martes, Sabado",Noche,3 veces o mas,1.5 horas,40+,Universidad,Individual,Audicion,No,Empresa privada,No
190,2025-11-24,50-59,Masculino,Puerto Colombia,Bachillerato,Celular basico,Tablet,WiFi,2,Incomodo,Nunca,Google Maps,"Mapas, Tramites","No sabe descargar apps, No entiende botones",Perder dinero,Si,Poco util,WhatsApp,Mapas,"Sabado, Viernes",Noche,1 vez,1.5 horas,0-10,Barrio,Individual,Motricidad,Solo si es gratis,Empresa privada,Si
191,2025-11-16,70-79,Masculino,Barranquilla,Profesional,No tiene,Tablet,WiFi,1,Muy comodo,Nunca,"Ninguna, Banca, Google Maps","Llamadas, Mensajes",Olvida contrasenas,Dañar celular,No,No me interesa,"Salud, Gobierno, Banca",Banca,Martes,Tarde,Depende,1.5 horas,21-40,Barrio,Indiferente,Ninguna,No,Alcaldia,No
192,2025-11-27,70-79,Masculino,Soledad,Tecnico/Tecnologo,Smartphone,Computador,Datos moviles,3,Neutral,Nunca,"Banca, WhatsApp, Ninguna",Videos,"Olvida contrasenas, Ninguna",Estafas,No,Util,"Compras, WhatsApp",Salud,"Miercoles, Lunes",Tarde,2 veces,45 min,40+,Universidad,Indiferente,Vista,No,Alcaldia,No
193,2025-11-29,70-79,Masculino,Galapa,Primaria,Smartphone,Computador,No tiene,1,Neutral,Todos los dias,"Ninguna, Banca, Google Maps","No lo usa, Llamadas",Miedo a danar celular,No entender,No,Util,Compras,Banca,"Miercoles, Sabado, Lunes",Manana,2 veces,45 min,40+,Universidad,Indiferente,Memoria,Solo si es gratis,Universidad,No
194,2025-12-09,80+,Masculino,Malambo,Bachillerato,Smartphone,Ninguno,Datos moviles,2,Comodo,Todos los dias,"YouTube, WhatsApp, Banca",Llamadas,"Miedo a danar celular, Olvida contrasenas",Perder dinero,Si,No me interesa,"Compras, Correo, Google Maps",Banca,Miercoles,Noche,1 vez,30 min,40+,Alcaldia,Indiferente,Vista,Si,Universidad,Si
195,2025-11-14,60-69,Masculino,Galapa,Profesional,Smartphone,Ninguno,WiFi,5,Incomodo,A veces,"Ninguna, YouTube, Correo",Mapas,No entiende botones,Dañar celular,Tal vez,Util,"Gobierno, Banca, Google Maps",Correo,"Sabado, Jueves, Lunes",Tarde,2 veces,1 hora,40+,Biblioteca,Indiferente,Memoria,Solo si es gratis,Familia,No
196,2025-12-12,40-49,Prefiero no decirlo,Barranquilla,Primaria,Celular basico,Tablet,Datos moviles,3,Muy comodo,Nunca,Google Maps,"Videos, Mapas","Miedo a danar celular, No entiende botones",Ninguno,Si,Poco util,Gobierno,Mapas,"Martes, Lunes","Noche, Tarde",2 veces,1 hora,0-10,Universidad,Individual,Audicion,No,Empresa privada,No
197,2025-11-15,70-79,Masculino,Malambo,Ninguno,Celular basico,Computador,Datos moviles,2,Neutral,Todos los dias,Banca,"Llamadas, Mensajes",No entiende botones,Perder dinero,Si,Muy util,"Correo, Banca",Redes sociales,"Jueves, Lunes","Manana, Tarde",3 veces o mas,1.5 horas,40+,Alcaldia,Individual,Audicion,Si,Empresa privada,Si
198,2025-12-08,60-69,Femenino,Soledad,Ninguno,Celular basico,Tablet,No tiene,1,Muy comodo,Rara vez,"WhatsApp, YouTube","No lo usa, Llamadas","No entiende botones, Olvida contrasenas",Estafas,Tal vez,Poco util,"Banca, Compras, Google Maps",Banca,Lunes,"Noche, Tarde",Depende,1 hora,0-10,Universidad,Individual,Ninguna,No,Empresa privada,Si
199,2025-12-08,40-49,Prefiero no decirlo,Malambo,Tecnico/Tecnologo,Smartphone,Celular,No tiene,5,Comodo,Nunca,"Google Maps, YouTube",Mapas,No entiende botones,Perder dinero,Si,No me interesa,"Correo, Redes sociales",Redes sociales,Lunes,"Tarde, Noche",3 veces o mas,45 min,21-40,Barrio,Grupo grande,Ninguna,Si,Fundacion,No
200,2025-11-16,70-79,Masculino,Malambo,Ninguno,No tiene,Ninguno,WiFi,4,Neutral,Rara vez,"Ninguna, Correo",Llamadas,"No sabe descargar apps, Miedo a danar celular",Perder dinero,Tal vez,Muy util,"Gobierno, Salud",WhatsApp,"Miercoles, Martes",Noche,3 veces o mas,45 min,40+,Universidad,Individual,Ninguna,Si,Alcaldia,Si
201,2025-11-28,70-79,Masculino,Barranquilla,Profesional,No tiene,Computador,Datos moviles,3,Muy comodo,Nunca,"WhatsApp, Ninguna, Correo",Mensajes,"No entiende botones, Ninguna",No entender,No,Poco util,"Gobierno, Compras",Redes sociales,"Viernes, Miercoles","Manana, Noche",2 veces,30 min,21-40,Barrio,Indiferente,Ninguna,Si,Alcaldia,No
202,2025-12-11,40-49,Femenino,Galapa,Profesional,No tiene,Ninguno,No tiene,5,Comodo,A veces,"Banca, Google Maps, Correo","Llamadas, Mensajes",No entiende botones,Perder dinero,Si,Muy util,"Salud, Compras, WhatsApp",Banca,"Sabado, Martes",Tarde,2 veces,30 min,21-40,Alcaldia,Grupo pequeno,Memoria,No,Alcaldia,Si
203,2025-12-09,50-59,Prefiero no decirlo,Galapa,Profesional,Celular basico,Celular,Datos moviles,5,Incomodo,Rara vez,"Banca, Correo",Videos,No entiende botones,No entender,Tal vez,No me interesa,"Correo, WhatsApp, Salud",Salud,"Viernes, Sabado","Manana, Noche",1 vez,1.5 horas,21-40,Barrio,Grupo grande,Memoria,No,Alcaldia,No
204,2025-11-25,60-69,Masculino,Galapa,Primaria,Smartphone,Computador,No tiene,2,Comodo,A veces,"YouTube, Banca",Tramites,"Ninguna, No sabe descargar apps",Perder dinero,Tal vez,No me interesa,"Redes sociales, Compras",Salud,Viernes,Tarde,1 vez,1.5 horas,11-20,Biblioteca,Grupo pequeno,Audicion,Solo si es gratis,Fundacion,Si
205,2025-11-19,70-79,Masculino,Malambo,Bachillerato,Smartphone,Celular,WiFi,3,Neutral,A veces,"YouTube, Ninguna, WhatsApp",Videos,"No entiende botones, Miedo a danar celular",Estafas,No,Util,"Correo, Google Maps",Mapas,Viernes,"Manana, Noche",1 vez,1.5 horas,40+,Barrio,Individual,Ninguna,Solo si es gratis,Alcaldia,Si
206,2025-11-28,40-49,Femenino,Barranquilla,Bachillerato,Celular basico,Tablet,No tiene,3,Comodo,Todos los dias,"WhatsApp, YouTube, Google Maps","Mensajes, Llamadas",No sabe descargar apps,No entender,Si,Util,"Redes sociales, Google Maps",Correo,Lunes,"Tarde, Noche",3 veces o mas,45 min,11-20,Alcaldia,Grupo pequeno,Audicion,No,Fundacion,No
207,2025-11-16,70-79,Prefiero no decirlo,Malambo,Primaria,Celular basico,Tablet,WiFi,5,Muy incomodo,Nunca,"Google Maps, Correo",Mapas,No sabe descargar apps,Estafas,No,Util,"WhatsApp, Redes sociales, Compras",Redes sociales,"Miercoles, Jueves, Viernes","Noche, Tarde",3 veces o mas,30 min,21-40,Biblioteca,Indiferente,Memoria,Solo si es gratis,Universidad,No
208,2025-11-22,60-69,Prefiero no decirlo,Galapa,Bachillerato,Celular basico,Celular,WiFi,5,Neutral,Todos los dias,"Ninguna, YouTube, Google Maps",Llamadas,"Ninguna, Olvida contrasenas",Perder dinero,Si,Muy util,"Correo, Banca, Google Maps",Redes sociales,"Viernes, Lunes",Tarde,3 veces o mas,1 hora,0-10,Barrio,Individual,Memoria,No,Familia,Si
209,2025-11-30,60-69,Femenino,Puerto Colombia,Ninguno,No tiene,Tablet,Datos moviles,3,Neutral,Rara vez,"Correo, Banca, YouTube",Videos,Olvida contrasenas,No entender,Si,Util,"Compras, Gobierno, Salud",WhatsApp,Lunes,"Manana, Tarde",2 veces,1.5 horas,0-10,Universidad,Indiferente,Ninguna,Solo si es gratis,Familia,No
210,2025-11-17,60-69,Prefiero no decirlo,Galapa,Profesional,Celular basico,Ninguno,No tiene,4,Incomodo,Rara vez,"YouTube, Correo, Banca",No lo usa,Miedo a danar celular,No entender,Tal vez,Muy util,"Google Maps, Correo, Gobierno",WhatsApp,"Jueves, Lunes, Viernes","Noche, Tarde",1 vez,45 min,0-10,Universidad,Grupo grande,Motricidad,No,Empresa privada,No
211,2025-12-14,50-59,Femenino,Puerto Colombia,Profesional,Smartphone,Computador,Datos moviles,2,Incomodo,Todos los dias,WhatsApp,"Llamadas, No lo usa","No sabe descargar apps, Olvida contrasenas",Ninguno,Tal vez,Poco util,"Gobierno, Compras",Redes sociales,"Martes, Sabado, Jueves","Noche, Tarde",2 veces,1 hora,0-10,Alcaldia,Indiferente,Audicion,No,Empresa privada,Si
212,2025-11-14,70-79,Prefiero no decirlo,Malambo,Primaria,Smartphone,Celular,No tiene,3,Muy comodo,Nunca,"Banca, WhatsApp, YouTube",Tramites,No sabe descargar apps,Ninguno,Si,Muy util,"Google Maps, WhatsApp, Gobierno",Banca,Sabado,"Manana, Tarde",Depende,30 min,40+,Barrio,Grupo grande,Memoria,Si,Fundacion,Si
213,2025-11-17,80+,Masculino,Galapa,Tecnico/Tecnologo,Smartphone,Celular,WiFi,5,Incomodo,A veces,YouTube,"Llamadas, Mensajes","No sabe descargar apps, Miedo a danar celular",Estafas,No,Poco util,WhatsApp,Redes sociales,Miercoles,"Manana, Tarde",2 veces,1.5 horas,21-40,Universidad,Indiferente,Vista,Si,Universidad,Si
214,2025-11-20,80+,Prefiero no decirlo,Soledad,Profesional,No tiene,Ninguno,WiFi,3,Muy incomodo,A veces,"Banca, Correo",Mapas,No sabe descargar apps,Perder dinero,Si,Poco util,"Banca, Gobierno, Correo",Redes sociales,Miercoles,"Tarde, Manana",2 veces,45 min,21-40,Biblioteca,Grupo pequeno,Ninguna,No,Familia,No
215,2025-12-13,40-49,Masculino,Puerto Colombia,Tecnico/Tecnologo,No tiene,Tablet,WiFi,1,Comodo,A veces,"Google Maps, Correo, Ninguna",Tramites,"No entiende botones, Miedo a danar celular",Ninguno,No,Muy util,"Banca, Salud",Redes sociales,Martes,"Tarde, Manana",3 veces o mas,1 hora,21-40,Alcaldia,Grupo grande,Audicion,Solo si es gratis,Empresa privada,No
216,2025-12-08,70-79,Prefiero no decirlo,Malambo,Primaria,No tiene,Tablet,No tiene,1,Muy comodo,Todos los dias,WhatsApp,Mapas,"No sabe descargar apps, No entiende botones",Estafas,No,Muy util,"Gobierno, Redes sociales, WhatsApp",Mapas,"Viernes, Miercoles","Manana, Noche",1 vez,1.5 horas,21-40,Biblioteca,Indiferente,Vista,Si,Alcaldia,No
217,2025-11-23,60-69,Femenino,Barranquilla,Ninguno,No tiene,Computador,No tiene,2,Incomodo,Todos los dias,"WhatsApp, Google Maps","No lo usa, Tramites",No entiende botones,Perder dinero,No,No me interesa,Correo,Correo,"Jueves, Martes, Viernes",Manana,2 veces,30 min,11-20,Universidad,Grupo pequeno,Ninguna,Solo si es gratis,Empresa privada,Si
218,2025-11-17,40-49,Prefiero no decirlo,Puerto Colombia,Ninguno,Celular basico,Ninguno,WiFi,4,Muy incomodo,A veces,"Correo, Google Maps",No lo usa,"No sabe descargar apps, Olvida contrasenas",Ninguno,Si,Util,Correo,Salud,"Jueves, Miercoles, Lunes","Manana, Tarde",1 vez,30 min,11-20,Alcaldia,Individual,Audicion,Si,Universidad,No
219,2025-12-05,40-49,Prefiero no decirlo,Barranquilla,Primaria,Celular basico,Ninguno,WiFi,5,Neutral,A veces,WhatsApp,"Mensajes, Videos",Olvida contrasenas,Ninguno,Si,Muy util,"Gobierno, Compras, WhatsApp",Redes sociales,"Viernes, Lunes",Manana,1 vez,1.5 horas,21-40,Barrio,Grupo pequeno,Vista,No,Alcaldia,No
220,2025-11-25,70-79,Femenino,Barranquilla,Primaria,No tiene,Celular,Datos moviles,4,Comodo,Nunca,"Correo, YouTube, WhatsApp","Mapas, No lo usa","Ninguna, No entiende botones",Dañar celular,No,Muy util,"Redes sociales, Correo",Banca,Lunes,Noche,1 vez,45 min,11-20,Universidad,Grupo grande,Memoria,No,Familia,No
221,2025-12-09,50-59,Femenino,Barranquilla,Primaria,Smartphone,Computador,No tiene,4,Muy comodo,A veces,"Banca, Ninguna",Mensajes,"Olvida contrasenas, Ninguna",Dañar celular,Tal vez,Muy util,"Google Maps, WhatsApp, Banca",Correo,"Lunes, Jueves, Miercoles",Manana,2 veces,30 min,21-40,Biblioteca,Indiferente,Memoria,Solo si es gratis,Empresa privada,No
222,2025-11-25,60-69,Masculino,Malambo,Bachillerato,Smartphone,Ninguno,WiFi,4,Incomodo,Nunca,"YouTube, Ninguna, Correo",Mensajes,"Olvida contrasenas, No sabe descargar apps",Perder dinero,Tal vez,Util,Redes sociales,WhatsApp,Miercoles,Noche,1 vez,45 min,21-40,Alcaldia,Grupo pequeno,Ninguna,No,Alcaldia,Si
223,2025-12-08,50-59,Masculino,Soledad,Bachillerato,Celular basico,Tablet,Datos moviles,5,Incomodo,Rara vez,WhatsApp,Videos,No entiende botones,Perder dinero,Tal vez,Muy util,"Salud, Google Maps",Salud,Miercoles,"Noche, Manana",Depende,30 min,0-10,Biblioteca,Grupo pequeno,Audicion,Si,Familia,No
224,2025-11-22,60-69,Masculino,Puerto Colombia,Profesional,No tiene,Tablet,WiFi,5,Muy comodo,Rara vez,"Google Maps, YouTube, Ninguna",Llamadas,"Miedo a danar celular, No sabe descargar apps",Perder dinero,No,Muy util,"Banca, Gobierno",Correo,"Sabado, Viernes","Tarde, Noche",2 veces,1 hora,21-40,Alcaldia,Indiferente,Memoria,No,Familia,No
225,2025-11-24,80+,Prefiero no decirlo,Barranquilla,Bachillerato,Smartphone,Tablet,Datos moviles,2,Comodo,Rara vez,"Correo, Ninguna",Videos,"Ninguna, No entiende botones",Perder dinero,Si,Poco util,"Redes sociales, Banca",Correo,Jueves,"Tarde, Noche",Depende,1.5 horas,40+,Universidad,Indiferente,Motricidad,No,Fundacion,Si
226,2025-12-09,70-79,Femenino,Malambo,Primaria,Celular basico,Celular,Datos moviles,5,Muy comodo,Nunca,"YouTube, WhatsApp",Llamadas,"No entiende botones, Miedo a danar celular",Dañar celular,Si,Poco util,"Correo, Redes sociales",Redes sociales,"Martes, Viernes",Noche,3 veces o mas,30 min,21-40,Universidad,Grupo grande,Memoria,No,Familia,Si
227,2025-11-29,80+,Femenino,Galapa,Bachillerato,Smartphone,Tablet,Datos moviles,2,Muy comodo,Todos los dias,"Correo, Google Maps, WhatsApp","Mensajes, Mapas","Miedo a danar celular, No sabe descargar apps",No entender,No,Muy util,"Google Maps, Correo",Banca,"Sabado, Lunes","Noche, Tarde",3 veces o mas,45 min,40+,Alcaldia,Indiferente,Ninguna,No,Empresa privada,Si
228,2025-11-26,40-49,Femenino,Soledad,Tecnico/Tecnologo,No tiene,Ninguno,Datos moviles,2,Comodo,Nunca,"Correo, YouTube, Ninguna",Videos,"Olvida contrasenas, No entiende botones",Perder dinero,Si,Util,Gobierno,WhatsApp,Martes,Tarde,3 veces o mas,45 min,11-20,Universidad,Individual,Memoria,Si,Empresa privada,Si
229,2025-12-09,60-69,Masculino,Galapa,Bachillerato,Smartphone,Tablet,No tiene,4,Comodo,Nunca,"YouTube, Ninguna",Videos,"No sabe descargar apps, Miedo a danar celular",Ninguno,No,Poco util,"Salud, Correo, Redes sociales",Redes sociales,"Miercoles, Martes",Manana,Depende,30 min,40+,Biblioteca,Grupo grande,Ninguna,No,Fundacion,No
230,2025-11-26,40-49,Prefiero no decirlo,Barranquilla,Tecnico/Tecnologo,No tiene,Ninguno,Datos moviles,3,Comodo,Rara vez,"YouTube, Ninguna","Mapas, No lo usa",Ninguna,Estafas,Tal vez,Muy util,Google Maps,Mapas,"Viernes, Miercoles, Lunes",Tarde,Depende,30 min,21-40,Barrio,Individual,Ninguna,No,Fundacion,No
231,2025-12-09,60-69,Femenino,Puerto Colombia,Primaria,Celular basico,Celular,WiFi,4,Comodo,A veces,"Correo, YouTube, Ninguna",Llamadas,"No entiende botones, Miedo a danar celular",Dañar celular,No,No me interesa,"Gobierno, WhatsApp",WhatsApp,"Sabado, Martes, Jueves",Tarde,3 veces o mas,45 min,11-20,Barrio,Individual,Audicion,No,Alcaldia,No
232,2025-12-09,40-49,Prefiero no decirlo,Barranquilla,Tecnico/Tecnologo,Smartphone,Ninguno,Datos moviles,2,Incomodo,Nunca,"Banca, YouTube, Correo",No lo usa,No sabe descargar apps,Dañar celular,Tal vez,Muy util,"WhatsApp, Gobierno, Salud",Banca,Miercoles,Manana,1 vez,30 min,40+,Barrio,Individual,Motricidad,Si,Alcaldia,Si
233,2025-11-14,40-49,Prefiero no decirlo,Soledad,Bachillerato,Smartphone,Ninguno,No tiene,1,Neutral,A veces,"Ninguna, YouTube, Banca","Mapas, Llamadas",Miedo a danar celular,Estafas,Tal vez,Poco util,WhatsApp,Salud,"Miercoles, Lunes, Jueves",Tarde,2 veces,30 min,21-40,Universidad,Individual,Vista,Si,Fundacion,No
234,2025-11-20,80+,Masculino,Barranquilla,Ninguno,No tiene,Tablet,Datos moviles,1,Muy comodo,A veces,"Ninguna, Correo, YouTube","Mensajes, Videos","No entiende botones, Olvida contrasenas",Estafas,No,No me interesa,"Salud, Correo",Correo,"Lunes, Martes, Sabado",Tarde,2 veces,1.5 horas,11-20,Barrio,Individual,Audicion,No,Fundacion,No
235,2025-12-08,50-59,Masculino,Soledad,Primaria,Smartphone,Ninguno,No tiene,3,Incomodo,A veces,"Ninguna, WhatsApp","No lo usa, Videos",Miedo a danar celular,Dañar celular,Tal vez,Util,WhatsApp,Redes sociales,Sabado,Noche,Depende,1 hora,11-20,Alcaldia,Individual,Vista,No,Alcaldia,Si
