id_encuestado,fecha_respuesta,edad_rango,genero,ciudad,nivel_educativo,tipo_celular,dispositivo_principal,acceso_internet,nivel_manejo_celular,comodidad_apps,frecuencia_uso_apps,apps_usadas,uso_principal_celular,dificultades,miedos,interes_clases_presenciales,interes_simuladores,apps_deseadas,app_prioritaria,dias_disponibles,horarios_disponibles,frecuencia_posible_semana,duracion_preferida_clase,tiempo_desplazamiento,lugar_preferido_clases,tipo_clase_preferida,limitaciones,disposicion_pago,entidad_ideal,contacto_interes
181,2025-11-18,70-79,Prefiero No Decirlo,Puerto Colombia,Tecnico/Tecnologo,Smartphone,Computador,Wifi,1,Incomodo,Rara Vez,"Youtube,Ninguna,Google Maps",Mensajes,No Entiende Botones,No Entender,No,Muy Util,Whatsapp,Salud,"Lunes,Martes",Manana,1 Vez,1.5 Horas,0-10,Universidad,Individual,Vista,No,Alcaldia,Si
182,2025-11-19,40-49,Prefiero No Decirlo,Soledad,Ninguno,Smartphone,Tablet,No Tiene,3,Muy Incomodo,Nunca,Ninguna,"Tramites,Videos","Miedo A Danar Celular,Ninguna",Ninguno,No,Muy Util,Whatsapp,Correo,Sabado,Tarde,2 Veces,30 Min,0-10,Biblioteca,Indiferente,Motricidad,Solo Si Es Gratis,Familia,Si
183,2025-11-30,40-49,Femenino,Malambo,Profesional,Celular Basico,Tablet,No Tiene,2,Comodo,Nunca,"Whatsapp,Correo",Tramites,No Sabe Descargar Apps,Dañar Celular,No,Poco Util,"Whatsapp,Gobierno,Google Maps",Salud,Jueves,"Tarde,Noche",Depende,45 Min,40+,Universidad,Indiferente,Audicion,Si,Fundacion,No
184,2025-12-09,40-49,Prefiero No Decirlo,Galapa,Primaria,Celular Basico,Ninguno,No Tiene,1,Muy Incomodo,Rara Vez,"Correo,Banca",No Lo Usa,No Entiende Botones,Dañar Celular,Si,Poco Util,Compras,Whatsapp,Jueves,"Tarde,Noche",Depende,1 Hora,40+,Alcaldia,Indiferente,Ninguna,No,Universidad,No
185,2025-12-11,40-49,Masculino,Galapa,Profesional,Smartphone,Tablet,Wifi,1,Muy Incomodo,Nunca,"Ninguna,Whatsapp",Mapas,"Miedo A Danar Celular,Olvida Contrasenas",Ninguno,No,Muy Util,Gobierno,Salud,Miercoles,"Tarde,Noche",3 Veces O Mas,30 Min,0-10,Alcaldia,Individual,Memoria,No,Empresa Privada,No
186,2025-11-30,70-79,Femenino,Barranquilla,Bachillerato,No Tiene,Computador,No Tiene,2,Comodo,Todos Los Dias,Google Maps,"Mapas,Llamadas","Ninguna,No Sabe Descargar Apps",No Entender,No,Util,"Whatsapp,Salud,Google Maps",Salud,"Jueves,Viernes,Miercoles","Tarde,Manana",1 Vez,30 Min,11-20,Universidad,Grupo Grande,Ninguna,Si,Empresa Privada,No
187,2025-12-11,70-79,Masculino,Malambo,Profesional,Celular Basico,Celular,No Tiene,2,Incomodo,Rara Vez,"Google Maps,Banca,Whatsapp",Videos,Olvida Contrasenas,Perder Dinero,Si,Poco Util,Gobierno,Redes Sociales,"Viernes,Sabado","Tarde,Manana",Depende,30 Min,21-40,Alcaldia,Indiferente,Motricidad,Solo Si Es Gratis,Alcaldia,No
188,2025-12-11,50-59,Masculino,Galapa,Ninguno,No Tiene,Computador,Wifi,5,Neutral,A Veces,"Youtube,Correo",Tramites,Olvida Contrasenas,Dañar Celular,Si,Poco Util,"Compras,Gobierno,Banca",Correo,"Lunes,Viernes,Sabado","Tarde,Manana",Depende,1.5 Horas,11-20,Universidad,Individual,Motricidad,Solo Si Es Gratis,Empresa Privada,No
189,2025-11-23,80+,Masculino,Soledad,Profesional,Celular Basico,Computador,No Tiene,5,Comodo,Rara Vez,Ninguna,Tramites,"Miedo A Danar Celular,No Sabe Descargar Apps",Dañar Celular,No,No Me Interesa,"Whatsapp,Correo,Banca",Mapas,"Martes,Sabado",Noche,3 Veces O Mas,1.5 Horas,40+,Universidad,Individual,Audicion,No,Empresa Privada,No
190,2025-11-24,50-59,Masculino,Puerto Colombia,Bachillerato,Celular Basico,Tablet,Wifi,2,Incomodo,Nunca,Google Maps,"Mapas,Tramites","No Sabe Descargar Apps,No Entiende Botones",Perder Dinero,Si,Poco Util,Whatsapp,Mapas,"Sabado,Viernes",Noche,1 Vez,1.5 Horas,0-10,Barrio,Individual,Motricidad,Solo Si Es Gratis,Empresa Privada,Si
191,2025-11-16,70-79,Masculino,Barranquilla,Profesional,No Tiene,Tablet,Wifi,1,Muy Comodo,Nunca,"Ninguna,Banca,Google Maps","Llamadas,Mensajes",Olvida Contrasenas,Dañar Celular,No,No Me Interesa,"Salud,Gobierno,Banca",Banca,Martes,Tarde,Depende,1.5 Horas,21-40,Barrio,Indiferente,Ninguna,No,Alcaldia,No
192,2025-11-27,70-79,Masculino,Soledad,Tecnico/Tecnologo,Smartphone,Computador,Datos Moviles,3,Neutral,Nunca,"Banca,Whatsapp,Ninguna",Videos,"Olvida Contrasenas,Ninguna",Estafas,No,Util,"Compras,Whatsapp",Salud,"Miercoles,Lunes",Tarde,2 Veces,45 Min,40+,Universidad,Indiferente,Vista,No,Alcaldia,No
193,2025-11-29,70-79,Masculino,Galapa,Primaria,Smartphone,Computador,No Tiene,1,Neutral,Todos Los Dias,"Ninguna,Banca,Google Maps","No Lo Usa,Llamadas",Miedo A Danar Celular,No Entender,No,Util,Compras,Banca,"Miercoles,Sabado,Lunes",Manana,2 Veces,45 Min,40+,Universidad,Indiferente,Memoria,Solo Si Es Gratis,Universidad,No
194,2025-12-09,80+,Masculino,Malambo,Bachillerato,Smartphone,Ninguno,Datos Moviles,2,Comodo,Todos Los Dias,"Youtube,Whatsapp,Banca",Llamadas,"Miedo A Danar Celular,Olvida Contrasenas",Perder Dinero,Si,No Me Interesa,"Compras,Correo,Google Maps",Banca,Miercoles,Noche,1 Vez,30 Min,40+,Alcaldia,Indiferente,Vista,Si,Universidad,Si
195,2025-11-14,60-69,Masculino,Galapa,Profesional,Smartphone,Ninguno,Wifi,5,Incomodo,A Veces,"Ninguna,Youtube,Correo",Mapas,No Entiende Botones,Dañar Celular,Tal Vez,Util,"Gobierno,Banca,Google Maps",Correo,"Sabado,Jueves,Lunes",Tarde,2 Veces,1 Hora,40+,Biblioteca,Indiferente,Memoria,Solo Si Es Gratis,Familia,No
196,2025-12-12,40-49,Prefiero No Decirlo,Barranquilla,Primaria,Celular Basico,Tablet,Datos Moviles,3,Muy Comodo,Nunca,Google Maps,"Videos,Mapas","Miedo A Danar Celular,No Entiende Botones",Ninguno,Si,Poco Util,Gobierno,Mapas,"Martes,Lunes","Noche,Tarde",2 Veces,1 Hora,0-10,Universidad,Individual,Audicion,No,Empresa Privada,No
197,2025-11-15,70-79,Masculino,Malambo,Ninguno,Celular Basico,Computador,Datos Moviles,2,Neutral,Todos Los Dias,Banca,"Llamadas,Mensajes",No Entiende Botones,Perder Dinero,Si,Muy Util,"Correo,Banca",Redes Sociales,"Jueves,Lunes","Manana,Tarde",3 Veces O Mas,1.5 Horas,40+,Alcaldia,Individual,Audicion,Si,Empresa Privada,Si
198,2025-12-08,60-69,Femenino,Soledad,Ninguno,Celular Basico,Tablet,No Tiene,1,Muy Comodo,Rara Vez,"Whatsapp,Youtube","No Lo Usa,Llamadas","No Entiende Botones,Olvida Contrasenas",Estafas,Tal Vez,Poco Util,"Banca,Compras,Google Maps",Banca,Lunes,"Noche,Tarde",Depende,1 Hora,0-10,Universidad,Individual,Ninguna,No,Empresa Privada,Si
199,2025-12-08,40-49,Prefiero No Decirlo,Malambo,Tecnico/Tecnologo,Smartphone,Celular,No Tiene,5,Comodo,Nunca,"Google Maps,Youtube",Mapas,No Entiende Botones,Perder Dinero,Si,No Me Interesa,"Correo,Redes Sociales",Redes Sociales,Lunes,"Tarde,Noche",3 Veces O Mas,45 Min,21-40,Barrio,Grupo Grande,Ninguna,Si,Fundacion,No
200,2025-11-16,70-79,Masculino,Malambo,Ninguno,No Tiene,Ninguno,Wifi,4,Neutral,Rara Vez,"Ninguna,Correo",Llamadas,"No Sabe Descargar Apps,Miedo A Danar Celular",Perder Dinero,Tal Vez,Muy Util,"Gobierno,Salud",Whatsapp,"Miercoles,Martes",Noche,3 Veces O Mas,45 Min,40+,Universidad,Individual,Ninguna,Si,Alcaldia,Si
201,2025-11-28,70-79,Masculino,Barranquilla,Profesional,No Tiene,Computador,Datos Moviles,3,Muy Comodo,Nunca,"Whatsapp,Ninguna,Correo",Mensajes,"No Entiende Botones,Ninguna",No Entender,No,Poco Util,"Gobierno,Compras",Redes Sociales,"Viernes,Miercoles","Manana,Noche",2 Veces,30 Min,21-40,Barrio,Indiferente,Ninguna,Si,Alcaldia,No
202,2025-12-11,40-49,Femenino,Galapa,Profesional,No Tiene,Ninguno,No Tiene,5,Comodo,A Veces,"Banca,Google Maps,Correo","Llamadas,Mensajes",No Entiende Botones,Perder Dinero,Si,Muy Util,"Salud,Compras,Whatsapp",Banca,"Sabado,Martes",Tarde,2 Veces,30 Min,21-40,Alcaldia,Grupo Pequeno,Memoria,No,Alcaldia,Si
203,2025-12-09,50-59,Prefiero No Decirlo,Galapa,Profesional,Celular Basico,Celular,Datos Moviles,5,Incomodo,Rara Vez,"Banca,Correo",Videos,No Entiende Botones,No Entender,Tal Vez,No Me Interesa,"Correo,Whatsapp,Salud",Salud,"Viernes,Sabado","Manana,Noche",1 Vez,1.5 Horas,21-40,Barrio,Grupo Grande,Memoria,No,Alcaldia,No
204,2025-11-25,60-69,Masculino,Galapa,Primaria,Smartphone,Computador,No Tiene,2,Comodo,A Veces,"Youtube,Banca",Tramites,"Ninguna,No Sabe Descargar Apps",Perder Dinero,Tal Vez,No Me Interesa,"Redes Sociales,Compras",Salud,Viernes,Tarde,1 Vez,1.5 Horas,11-20,Biblioteca,Grupo Pequeno,Audicion,Solo Si Es Gratis,Fundacion,Si
205,2025-11-19,70-79,Masculino,Malambo,Bachillerato,Smartphone,Celular,Wifi,3,Neutral,A Veces,"Youtube,Ninguna,Whatsapp",Videos,"No Entiende Botones,Miedo A Danar Celular",Estafas,No,Util,"Correo,Google Maps",Mapas,Viernes,"Manana,Noche",1 Vez,1.5 Horas,40+,Barrio,Individual,Ninguna,Solo Si Es Gratis,Alcaldia,Si
206,2025-11-28,40-49,Femenino,Barranquilla,Bachillerato,Celular Basico,Tablet,No Tiene,3,Comodo,Todos Los Dias,"Whatsapp,Youtube,Google Maps","Mensajes,Llamadas",No Sabe Descargar Apps,No Entender,Si,Util,"Redes Sociales,Google Maps",Correo,Lunes,"Tarde,Noche",3 Veces O Mas,45 Min,11-20,Alcaldia,Grupo Pequeno,Audicion,No,Fundacion,No
207,2025-11-16,70-79,Prefiero No Decirlo,Malambo,Primaria,Celular Basico,Tablet,Wifi,5,Muy Incomodo,Nunca,"Google Maps,Correo",Mapas,No Sabe Descargar Apps,Estafas,No,Util,"Whatsapp,Redes Sociales,Compras",Redes Sociales,"Miercoles,Jueves,Viernes","Noche,Tarde",3 Veces O Mas,30 Min,21-40,Biblioteca,Indiferente,Memoria,Solo Si Es Gratis,Universidad,No
208,2025-11-22,60-69,Prefiero No Decirlo,Galapa,Bachillerato,Celular Basico,Celular,Wifi,5,Neutral,Todos Los Dias,"Ninguna,Youtube,Google Maps",Llamadas,"Ninguna,Olvida Contrasenas",Perder Dinero,Si,Muy Util,"Correo,Banca,Google Maps",Redes Sociales,"Viernes,Lunes",Tarde,3 Veces O Mas,1 Hora,0-10,Barrio,Individual,Memoria,No,Familia,Si
209,2025-11-30,60-69,Femenino,Puerto Colombia,Ninguno,No Tiene,Tablet,Datos Moviles,3,Neutral,Rara Vez,"Correo,Banca,Youtube",Videos,Olvida Contrasenas,No Entender,Si,Util,"Compras,Gobierno,Salud",Whatsapp,Lunes,"Manana,Tarde",2 Veces,1.5 Horas,0-10,Universidad,Indiferente,Ninguna,Solo Si Es Gratis,Familia,No
210,2025-11-17,60-69,Prefiero No Decirlo,Galapa,Profesional,Celular Basico,Ninguno,No Tiene,4,Incomodo,Rara Vez,"Youtube,Correo,Banca",No Lo Usa,Miedo A Danar Celular,No Entender,Tal Vez,Muy Util,"Google Maps,Correo,Gobierno",Whatsapp,"Jueves,Lunes,Viernes","Noche,Tarde",1 Vez,45 Min,0-10,Universidad,Grupo Grande,Motricidad,No,Empresa Privada,No
211,2025-12-14,50-59,Femenino,Puerto Colombia,Profesional,Smartphone,Computador,Datos Moviles,2,Incomodo,Todos Los Dias,Whatsapp,"Llamadas,No Lo Usa","No Sabe Descargar Apps,Olvida Contrasenas",Ninguno,Tal Vez,Poco Util,"Gobierno,Compras",Redes Sociales,"Martes,Sabado,Jueves","Noche,Tarde",2 Veces,1 Hora,0-10,Alcaldia,Indiferente,Audicion,No,Empresa Privada,Si
212,2025-11-14,70-79,Prefiero No Decirlo,Malambo,Primaria,Smartphone,Celular,No Tiene,3,Muy Comodo,Nunca,"Banca,Whatsapp,Youtube",Tramites,No Sabe Descargar Apps,Ninguno,Si,Muy Util,"Google Maps,Whatsapp,Gobierno",Banca,Sabado,"Manana,Tarde",Depende,30 Min,40+,Barrio,Grupo Grande,Memoria,Si,Fundacion,Si
213,2025-11-17,80+,Masculino,Galapa,Tecnico/Tecnologo,Smartphone,Celular,Wifi,5,Incomodo,A Veces,Youtube,"Llamadas,Mensajes","No Sabe Descargar Apps,Miedo A Danar Celular",Estafas,No,Poco Util,Whatsapp,Redes Sociales,Miercoles,"Manana,Tarde",2 Veces,1.5 Horas,21-40,Universidad,Indiferente,Vista,Si,Universidad,Si
214,2025-11-20,80+,Prefiero No Decirlo,Soledad,Profesional,No Tiene,Ninguno,Wifi,3,Muy Incomodo,A Veces,"Banca,Correo",Mapas,No Sabe Descargar Apps,Perder Dinero,Si,Poco Util,"Banca,Gobierno,Correo",Redes Sociales,Miercoles,"Tarde,Manana",2 Veces,45 Min,21-40,Biblioteca,Grupo Pequeno,Ninguna,No,Familia,No
215,2025-12-13,40-49,Masculino,Puerto Colombia,Tecnico/Tecnologo,No Tiene,Tablet,Wifi,1,Comodo,A Veces,"Google Maps,Correo,Ninguna",Tramites,"No Entiende Botones,Miedo A Danar Celular",Ninguno,No,Muy Util,"Banca,Salud",Redes Sociales,Martes,"Tarde,Manana",3 Veces O Mas,1 Hora,21-40,Alcaldia,Grupo Grande,Audicion,Solo Si Es Gratis,Empresa Privada,No
216,2025-12-08,70-79,Prefiero No Decirlo,Malambo,Primaria,No Tiene,Tablet,No Tiene,1,Muy Comodo,Todos Los Dias,Whatsapp,Mapas,"No Sabe Descargar Apps,No Entiende Botones",Estafas,No,Muy Util,"Gobierno,Redes Sociales,Whatsapp",Mapas,"Viernes,Miercoles","Manana,Noche",1 Vez,1.5 Horas,21-40,Biblioteca,Indiferente,Vista,Si,Alcaldia,No
217,2025-11-23,60-69,Femenino,Barranquilla,Ninguno,No Tiene,Computador,No Tiene,2,Incomodo,Todos Los Dias,"Whatsapp,Google Maps","No Lo Usa,Tramites",No Entiende Botones,Perder Dinero,No,No Me Interesa,Correo,Correo,"Jueves,Martes,Viernes",Manana,2 Veces,30 Min,11-20,Universidad,Grupo Pequeno,Ninguna,Solo Si Es Gratis,Empresa Privada,Si
218,2025-11-17,40-49,Prefiero No Decirlo,Puerto Colombia,Ninguno,Celular Basico,Ninguno,Wifi,4,Muy Incomodo,A Veces,"Correo,Google Maps",No Lo Usa,"No Sabe Descargar Apps,Olvida Contrasenas",Ninguno,Si,Util,Correo,Salud,"Jueves,Miercoles,Lunes","Manana,Tarde",1 Vez,30 Min,11-20,Alcaldia,Individual,Audicion,Si,Universidad,No
219,2025-12-05,40-49,Prefiero No Decirlo,Barranquilla,Primaria,Celular Basico,Ninguno,Wifi,5,Neutral,A Veces,Whatsapp,"Mensajes,Videos",Olvida Contrasenas,Ninguno,Si,Muy Util,"Gobierno,Compras,Whatsapp",Redes Sociales,"Viernes,Lunes",Manana,1 Vez,1.5 Horas,21-40,Barrio,Grupo Pequeno,Vista,No,Alcaldia,No
220,2025-11-25,70-79,Femenino,Barranquilla,Primaria,No Tiene,Celular,Datos Moviles,4,Comodo,Nunca,"Correo,Youtube,Whatsapp","Mapas,No Lo Usa","Ninguna,No Entiende Botones",Dañar Celular,No,Muy Util,"Redes Sociales,Correo",Banca,Lunes,Noche,1 Vez,45 Min,11-20,Universidad,Grupo Grande,Memoria,No,Familia,No
221,2025-12-09,50-59,Femenino,Barranquilla,Primaria,Smartphone,Computador,No Tiene,4,Muy Comodo,A Veces,"Banca,Ninguna",Mensajes,"Olvida Contrasenas,Ninguna",Dañar Celular,Tal Vez,Muy Util,"Google Maps,Whatsapp,Banca",Correo,"Lunes,Jueves,Miercoles",Manana,2 Veces,30 Min,21-40,Biblioteca,Indiferente,Memoria,Solo Si Es Gratis,Empresa Privada,No
222,2025-11-25,60-69,Masculino,Malambo,Bachillerato,Smartphone,Ninguno,Wifi,4,Incomodo,Nunca,"Youtube,Ninguna,Correo",Mensajes,"Olvida Contrasenas,No Sabe Descargar Apps",Perder Dinero,Tal Vez,Util,Redes Sociales,Whatsapp,Miercoles,Noche,1 Vez,45 Min,21-40,Alcaldia,Grupo Pequeno,Ninguna,No,Alcaldia,Si
223,2025-12-08,50-59,Masculino,Soledad,Bachillerato,Celular Basico,Tablet,Datos Moviles,5,Incomodo,Rara Vez,Whatsapp,Videos,No Entiende Botones,Perder Dinero,Tal Vez,Muy Util,"Salud,Google Maps",Salud,Miercoles,"Noche,Manana",Depende,30 Min,0-10,Biblioteca,Grupo Pequeno,Audicion,Si,Familia,No
224,2025-11-22,60-69,Masculino,Puerto Colombia,Profesional,No Tiene,Tablet,Wifi,5,Muy Comodo,Rara Vez,"Google Maps,Youtube,Ninguna",Llamadas,"Miedo A Danar Celular,No Sabe Descargar Apps",Perder Dinero,No,Muy Util,"Banca,Gobierno",Correo,"Sabado,Viernes","Tarde,Noche",2 Veces,1 Hora,21-40,Alcaldia,Indiferente,Memoria,No,Familia,No
225,2025-11-24,80+,Prefiero No Decirlo,Barranquilla,Bachillerato,Smartphone,Tablet,Datos Moviles,2,Comodo,Rara Vez,"Correo,Ninguna",Videos,"Ninguna,No Entiende Botones",Perder Dinero,Si,Poco Util,"Redes Sociales,Banca",Correo,Jueves,"Tarde,Noche",Depende,1.5 Horas,40+,Universidad,Indiferente,Motricidad,No,Fundacion,Si
226,2025-12-09,70-79,Femenino,Malambo,Primaria,Celular Basico,Celular,Datos Moviles,5,Muy Comodo,Nunca,"Youtube,Whatsapp",Llamadas,"No Entiende Botones,Miedo A Danar Celular",Dañar Celular,Si,Poco Util,"Correo,Redes Sociales",Redes Sociales,"Martes,Viernes",Noche,3 Veces O Mas,30 Min,21-40,Universidad,Grupo Grande,Memoria,No,Familia,Si
227,2025-11-29,80+,Femenino,Galapa,Bachillerato,Smartphone,Tablet,Datos Moviles,2,Muy Comodo,Todos Los Dias,"Correo,Google Maps,Whatsapp","Mensajes,Mapas","Miedo A Danar Celular,No Sabe Descargar Apps",No Entender,No,Muy Util,"Google Maps,Correo",Banca,"Sabado,Lunes","Noche,Tarde",3 Veces O Mas,45 Min,40+,Alcaldia,Indiferente,Ninguna,No,Empresa Privada,Si
228,2025-11-26,40-49,Femenino,Soledad,Tecnico/Tecnologo,No Tiene,Ninguno,Datos Moviles,2,Comodo,Nunca,"Correo,Youtube,Ninguna",Videos,"Olvida Contrasenas,No Entiende Botones",Perder Dinero,Si,Util,Gobierno,Whatsapp,Martes,Tarde,3 Veces O Mas,45 Min,11-20,Universidad,Individual,Memoria,Si,Empresa Privada,Si
229,2025-12-09,60-69,Masculino,Galapa,Bachillerato,Smartphone,Tablet,No Tiene,4,Comodo,Nunca,"Youtube,Ninguna",Videos,"No Sabe Descargar Apps,Miedo A Danar Celular",Ninguno,No,Poco Util,"Salud,Correo,Redes Sociales",Redes Sociales,"Miercoles,Martes",Manana,Depende,30 Min,40+,Biblioteca,Grupo Grande,Ninguna,No,Fundacion,No
230,2025-11-26,40-49,Prefiero No Decirlo,Barranquilla,Tecnico/Tecnologo,No Tiene,Ninguno,Datos Moviles,3,Comodo,Rara Vez,"Youtube,Ninguna","Mapas,No Lo Usa",Ninguna,Estafas,Tal Vez,Muy Util,Google Maps,Mapas,"Viernes,Miercoles,Lunes",Tarde,Depende,30 Min,21-40,Barrio,Individual,Ninguna,No,Fundacion,No
231,2025-12-09,60-69,Femenino,Puerto Colombia,Primaria,Celular Basico,Celular,Wifi,4,Comodo,A Veces,"Correo,Youtube,Ninguna",Llamadas,"No Entiende Botones,Miedo A Danar Celular",Dañar Celular,No,No Me Interesa,"Gobierno,Whatsapp",Whatsapp,"Sabado,Martes,Jueves",Tarde,3 Veces O Mas,45 Min,11-20,Barrio,Individual,Audicion,No,Alcaldia,No
232,2025-12-09,40-49,Prefiero No Decirlo,Barranquilla,Tecnico/Tecnologo,Smartphone,Ninguno,Datos Moviles,2,Incomodo,Nunca,"Banca,Youtube,Correo",No Lo Usa,No Sabe Descargar Apps,Dañar Celular,Tal Vez,Muy Util,"Whatsapp,Gobierno,Salud",Banca,Miercoles,Manana,1 Vez,30 Min,40+,Barrio,Individual,Motricidad,Si,Alcaldia,Si
233,2025-11-14,40-49,Prefiero No Decirlo,Soledad,Bachillerato,Smartphone,Ninguno,No Tiene,1,Neutral,A Veces,"Ninguna,Youtube,Banca","Mapas,Llamadas",Miedo A Danar Celular,Estafas,Tal Vez,Poco Util,Whatsapp,Salud,"Miercoles,Lunes,Jueves",Tarde,2 Veces,30 Min,21-40,Universidad,Individual,Vista,Si,Fundacion,No
234,2025-11-20,80+,Masculino,Barranquilla,Ninguno,No Tiene,Tablet,Datos Moviles,1,Muy Comodo,A Veces,"Ninguna,Correo,Youtube","Mensajes,Videos","No Entiende Botones,Olvida Contrasenas",Estafas,No,No Me Interesa,"Salud,Correo",Correo,"Lunes,Martes,Sabado",Tarde,2 Veces,1.5 Horas,11-20,Barrio,Individual,Audicion,No,Fundacion,No
235,2025-12-08,50-59,Masculino,Soledad,Primaria,Smartphone,Ninguno,No Tiene,3,Incomodo,A Veces,"Ninguna,Whatsapp","No Lo Usa,Videos",Miedo A Danar Celular,Dañar Celular,Tal Vez,Util,Whatsapp,Redes Sociales,Sabado,Noche,Depende,1 Hora,11-20,Alcaldia,Individual,Vista,No,Alcaldia,Si
236,2025-12-13,50-59,Femenino,Soledad,Primaria,Smartphone,Tablet,Wifi,5,Muy Incomodo,Todos Los Dias,"Correo,Google Maps,Youtube",Mensajes,"Miedo A Danar Celular,Ninguna",Dañar Celular,Tal Vez,No Me Interesa,"Salud,Google Maps,Gobierno",Whatsapp,"Jueves,Sabado",Tarde,Depende,1.5 Horas,40+,Biblioteca,Indiferente,Vista,No,Fundacion,Si
237,2025-11-20,60-69,Prefiero No Decirlo,Puerto Colombia,Bachillerato,No Tiene,Tablet,Datos Moviles,4,Comodo,A Veces,"Google Maps,Correo","Llamadas,Videos",No Sabe Descargar Apps,Perder Dinero,Si,Util,Whatsapp,Correo,"Sabado,Miercoles,Jueves","Tarde,Noche",3 Veces O Mas,1.5 Horas,40+,Universidad,Individual,Memoria,Si,Alcaldia,No
238,2025-11-15,80+,Femenino,Soledad,Profesional,Celular Basico,Computador,No Tiene,4,Neutral,Nunca,"Correo,Ninguna,Youtube",Mapas,Olvida Contrasenas,Estafas,No,Util,"Gobierno,Redes Sociales",Banca,"Martes,Viernes",Manana,1 Vez,30 Min,40+,Alcaldia,Individual,Ninguna,Si,Fundacion,Si
239,2025-11-18,70-79,Masculino,Malambo,Ninguno,No Tiene,Ninguno,No Tiene,3,Comodo,Nunca,Ninguna,"Mensajes,Videos",No Sabe Descargar Apps,Dañar Celular,Si,Util,"Whatsapp,Gobierno",Whatsapp,"Jueves,Viernes,Sabado","Noche,Tarde",2 Veces,45 Min,21-40,Biblioteca,Grupo Pequeno,Audicion,No,Universidad,Si
240,2025-11-30,80+,Femenino,Soledad,Bachillerato,Smartphone,Tablet,Wifi,3,Comodo,Todos Los Dias,"Banca,Whatsapp,Youtube",Videos,No Sabe Descargar Apps,Estafas,Tal Vez,Muy Util,"Whatsapp,Correo",Banca,"Jueves,Lunes",Manana,3 Veces O Mas,30 Min,0-10,Barrio,Grupo Pequeno,Ninguna,Si,Fundacion,No
241,2025-11-15,70-79,Masculino,Malambo,Ninguno,Celular Basico,Computador,Datos Moviles,3,Neutral,Rara Vez,"Ninguna,Correo","Tramites,Llamadas","Olvida Contrasenas,No Entiende Botones",Estafas,Tal Vez,No Me Interesa,"Google Maps,Whatsapp,Correo",Whatsapp,"Miercoles,Martes,Sabado","Noche,Tarde",Depende,45 Min,0-10,Universidad,Individual,Motricidad,Si,Empresa Privada,No
242,2025-12-07,80+,Masculino,Galapa,Ninguno,Smartphone,Computador,Datos Moviles,4,Muy Incomodo,Todos Los Dias,"Banca,Youtube",Tramites,Miedo A Danar Celular,No Entender,Si,Poco Util,"Gobierno,Banca,Salud",Whatsapp,"Sabado,Viernes",Manana,2 Veces,45 Min,0-10,Barrio,Indiferente,Vista,Si,Empresa Privada,No
243,2025-11-20,60-69,Femenino,Malambo,Profesional,No Tiene,Celular,No Tiene,2,Muy Comodo,Todos Los Dias,Ninguna,"Mensajes,Tramites",Olvida Contrasenas,No Entender,No,No Me Interesa,"Compras,Gobierno,Banca",Banca,"Lunes,Miercoles",Manana,1 Vez,1 Hora,11-20,Barrio,Grupo Grande,Audicion,No,Fundacion,Si
244,2025-12-05,40-49,Prefiero No Decirlo,Puerto Colombia,Bachillerato,Celular Basico,Ninguno,Datos Moviles,3,Incomodo,Rara Vez,Correo,Tramites,"Olvida Contrasenas,Miedo A Danar Celular",Dañar Celular,Si,No Me Interesa,"Gobierno,Banca,Correo",Mapas,Sabado,Noche,3 Veces O Mas,1 Hora,0-10,Universidad,Indiferente,Audicion,No,Empresa Privada,No
245,2025-12-13,60-69,Femenino,Soledad,Bachillerato,No Tiene,Celular,Wifi,4,Comodo,A Veces,"Youtube,Whatsapp,Correo","Mapas,No Lo Usa","No Sabe Descargar Apps,Ninguna",Estafas,No,Poco Util,"Salud,Redes Sociales",Correo,"Lunes,Martes","Noche,Manana",3 Veces O Mas,1.5 Horas,11-20,Biblioteca,Indiferente,Memoria,No,Universidad,Si
246,2025-12-08,50-59,Prefiero No Decirlo,Barranquilla,Tecnico/Tecnologo,No Tiene,Celular,No Tiene,2,Comodo,Todos Los Dias,"Youtube,Whatsapp,Banca","Mapas,Mensajes",No Entiende Botones,Ninguno,No,Poco Util,"Compras,Banca,Redes Sociales",Redes Sociales,"Martes,Lunes",Manana,Depende,1.5 Horas,21-40,Biblioteca,Indiferente,Vista,No,Fundacion,No
247,2025-11-24,70-79,Masculino,Barranquilla,Primaria,Smartphone,Celular,Wifi,4,Muy Comodo,Rara Vez,Banca,"Videos,Llamadas",No Sabe Descargar Apps,No Entender,No,No Me Interesa,"Google Maps,Whatsapp",Mapas,Sabado,Tarde,1 Vez,1.5 Horas,40+,Barrio,Individual,Audicion,Solo Si Es Gratis,Alcaldia,Si
248,2025-11-17,80+,Prefiero No Decirlo,Soledad,Primaria,No Tiene,Ninguno,Datos Moviles,1,Muy Incomodo,Rara Vez,"Youtube,Ninguna,Whatsapp","Llamadas,No Lo Usa",Ninguna,Dañar Celular,Tal Vez,Util,"Whatsapp,Banca",Mapas,Viernes,"Noche,Tarde",2 Veces,1.5 Horas,21-40,Universidad,Grupo Pequeno,Vista,Solo Si Es Gratis,Alcaldia,Si
